Symbol,Time
QQQ,2021-09-10T21:30:15.703022Z
ARKX,2021-09-10T21:29:05.969355Z
ARKF,2021-09-10T21:28:03.501237Z
ARKK,2021-09-10T21:26:39.672354Z
M2K,2021-09-10T21:25:22.004768Z
MES,2021-09-10T21:23:27.980072Z
MNQ,2021-09-10T21:21:46.230076Z
IWM,2021-09-10T03:55:04.314642Z
SPY,2021-09-10T03:54:22.281990Z
QQQ,2021-09-10T03:53:58.498127Z
ARKX,2021-09-10T03:53:04.625493Z
ARKF,2021-09-10T03:52:22.060163Z
ARKK,2021-09-10T03:51:58.654308Z
M2K,2021-09-10T03:51:10.749756Z
MES,2021-09-10T03:50:04.940816Z
MNQ,2021-09-10T03:49:04.123001Z
IWM,2021-09-08T22:06:30.884516Z
SPY,2021-09-08T22:05:30.492790Z
QQQ,2021-09-08T22:03:54.765577Z
ARKX,2021-09-08T22:02:42.653519Z
ARKF,2021-09-08T22:01:36.275912Z
ARKK,2021-09-08T22:00:30.732230Z
M2K,2021-09-08T21:59:12.519626Z
MES,2021-09-08T21:58:18.570206Z
MNQ,2021-09-08T21:57:27.073582Z
IWM,2021-09-07T21:59:35.210537Z
SPY,2021-09-07T21:58:11.185502Z
QQQ,2021-09-07T21:56:53.447795Z
ARKX,2021-09-07T21:55:47.261688Z
ARKF,2021-09-07T21:54:35.224572Z
ARKK,2021-09-07T21:53:35.743353Z
M2K,2021-09-07T21:51:59.534085Z
MES,2021-09-07T21:51:11.236240Z
MNQ,2021-09-07T21:50:31.616800Z
IWM,2021-09-03T21:50:26.402373Z
SPY,2021-09-03T21:49:08.272550Z
QQQ,2021-09-03T21:48:02.527479Z
ARKX,2021-09-03T21:46:50.775937Z
ARKF,2021-09-03T21:45:50.155881Z
ARKK,2021-09-03T21:44:26.768288Z
M2K,2021-09-03T21:43:08.861791Z
MES,2021-09-03T21:41:15.813763Z
MNQ,2021-09-03T21:39:32.175334Z
IWM,2021-09-02T21:16:08.676468Z
SPY,2021-09-02T21:14:38.600996Z
QQQ,2021-09-02T21:13:27.093868Z
ARKX,2021-09-02T21:12:15.211145Z
ARKF,2021-09-02T21:11:08.607022Z
ARKK,2021-09-02T21:10:08.839643Z
M2K,2021-09-02T21:08:38.643953Z
MES,2021-09-02T21:07:44.690772Z
MNQ,2021-09-02T21:06:57.055833Z
IWM,2021-09-01T21:23:32.570504Z
SPY,2021-09-01T21:21:56.881425Z
QQQ,2021-09-01T21:20:44.634335Z
ARKX,2021-09-01T21:19:38.616735Z
